Domain,total,correct,less_incorrect,more_incorrect,unknown,pct_correct
DYRK1B,240,240,0,0,0,100
IL6,240,240,0,0,0,100
INO80B,240,240,0,0,0,100
PPOX,240,240,0,0,0,100
RHO,240,240,0,0,0,100
KRT23,240,234,1,5,0,97.5
UPRT,240,231,2,7,0,96.25
HAUS1,240,176,64,0,0,73.33333333333333
SLC39A12,240,172,29,39,0,71.66666666666667
OPN1SW,240,152,88,0,0,63.333333333333336
NEUROG1,240,142,23,75,0,59.166666666666664
GPX3,240,123,0,117,0,51.25
TPPP2,240,115,0,125,0,47.916666666666664
AR,240,92,81,67,0,38.333333333333336
AIMP2,240,59,128,53,0,24.583333333333332
CASQ1,240,39,110,91,0,16.25
TF,240,5,222,13,0,2.0833333333333335
APOBEC2,240,0,0,240,0,0
COCH,240,0,228,12,0,0
UBA2,240,0,240,0,0,0
