"Head","Layer","n_correct","n_less_incorrect","n_more_incorrect","denom","pct_correct"
1,1,8,7,5,20,40
2,1,8,7,5,20,40
3,1,8,7,5,20,40
4,1,9,8,3,20,45
5,1,6,7,7,20,30
6,1,6,7,7,20,30
7,1,9,8,3,20,45
8,1,4,7,9,20,20
9,1,9,8,3,20,45
10,1,6,6,8,20,30
11,1,9,8,3,20,45
12,1,9,8,3,20,45
1,2,9,8,3,20,45
2,2,8,8,4,20,40
3,2,9,8,3,20,45
4,2,6,7,7,20,30
5,2,9,8,3,20,45
6,2,9,8,3,20,45
7,2,9,8,3,20,45
8,2,6,7,7,20,30
9,2,7,9,4,20,35
10,2,9,8,3,20,45
11,2,8,8,4,20,40
12,2,9,8,3,20,45
1,3,8,9,3,20,40
2,3,10,5,5,20,50
3,3,6,5,9,20,30
4,3,8,9,3,20,40
5,3,7,7,6,20,35
6,3,5,6,9,20,25
7,3,9,8,3,20,45
8,3,7,7,6,20,35
9,3,7,9,4,20,35
10,3,6,9,5,20,30
11,3,6,7,7,20,30
12,3,5,9,6,20,25
1,4,8,6,6,20,40
2,4,5,7,8,20,25
3,4,8,7,5,20,40
4,4,8,9,3,20,40
5,4,10,6,4,20,50
6,4,8,6,6,20,40
7,4,9,8,3,20,45
8,4,5,6,9,20,25
9,4,6,5,9,20,30
10,4,8,9,3,20,40
11,4,6,7,7,20,30
12,4,6,6,8,20,30
1,5,6,10,4,20,30
2,5,9,6,5,20,45
3,5,10,7,3,20,50
4,5,9,6,5,20,45
5,5,5,5,10,20,25
6,5,9,5,6,20,45
7,5,6,6,8,20,30
8,5,8,8,4,20,40
9,5,6,9,5,20,30
10,5,9,5,6,20,45
11,5,10,7,3,20,50
12,5,12,4,4,20,60
1,6,7,9,4,20,35
2,6,4,7,9,20,20
3,6,8,8,4,20,40
4,6,10,7,3,20,50
5,6,8,8,4,20,40
6,6,13,4,3,20,65
7,6,8,9,3,20,40
8,6,8,9,3,20,40
9,6,12,6,2,20,60
10,6,11,6,3,20,55
11,6,9,7,4,20,45
12,6,6,8,6,20,30
1,7,8,8,4,20,40
2,7,8,7,5,20,40
3,7,5,10,5,20,25
4,7,11,7,2,20,55
5,7,7,8,5,20,35
6,7,10,7,3,20,50
7,7,6,8,6,20,30
8,7,5,8,7,20,25
9,7,8,8,4,20,40
10,7,6,10,4,20,30
11,7,8,6,6,20,40
12,7,4,6,10,20,20
1,8,7,8,5,20,35
2,8,6,9,5,20,30
3,8,3,7,10,20,15
4,8,6,10,4,20,30
5,8,7,7,6,20,35
6,8,6,8,6,20,30
7,8,12,5,3,20,60
8,8,8,8,4,20,40
9,8,3,9,8,20,15
10,8,7,7,6,20,35
11,8,7,5,8,20,35
12,8,5,9,6,20,25
1,9,4,5,11,20,20
2,9,9,6,5,20,45
3,9,4,7,9,20,20
4,9,5,7,8,20,25
5,9,9,6,5,20,45
6,9,9,7,4,20,45
7,9,5,7,8,20,25
8,9,3,8,9,20,15
9,9,10,5,5,20,50
10,9,10,6,4,20,50
11,9,3,7,10,20,15
12,9,2,10,8,20,10
1,10,7,5,8,20,35
2,10,6,9,5,20,30
3,10,7,6,7,20,35
4,10,5,5,10,20,25
5,10,4,5,11,20,20
6,10,5,9,6,20,25
7,10,4,12,4,20,20
8,10,4,6,10,20,20
9,10,3,7,10,20,15
10,10,10,7,3,20,50
11,10,4,5,11,20,20
12,10,8,7,5,20,40
1,11,7,5,8,20,35
2,11,5,9,6,20,25
3,11,2,6,12,20,10
4,11,8,7,5,20,40
5,11,9,9,2,20,45
6,11,9,7,4,20,45
7,11,6,9,5,20,30
8,11,5,8,7,20,25
9,11,3,8,9,20,15
10,11,6,5,9,20,30
11,11,9,7,4,20,45
12,11,6,7,7,20,30
1,12,11,6,3,20,55
2,12,12,7,1,20,60
3,12,6,6,8,20,30
4,12,12,5,3,20,60
5,12,13,5,2,20,65
6,12,10,7,3,20,50
7,12,10,5,5,20,50
8,12,4,5,11,20,20
9,12,10,6,4,20,50
10,12,7,7,6,20,35
11,12,3,6,11,20,15
12,12,8,5,7,20,40
